code,name,symbol
"2P","Kilobyte","Unidad de información igual a 10 ³  (1000) bytes."
"2Q","Kilobecquerel",""
"2R","Kilocurie",""
"2U","Megagramo",""
"2V","Megagrama por hora",""
"2X","Metro por minuto",""
"2Y","Milliroentgen",""
"2Z","Milivoltio",""
"33","Kilopascal por grtr",""
"34","Kilopascal por milímetro",""
"35","Milímetro por un segundo centímetro cuadrado",""
"37","Onza por pie cuadrado",""
"38","Onzas por pie cuadrado por 0,01 pulgadas",""
"3B","Megajoule",""
"3C","Manmonth","Unidad de cuenta que define el número de meses que una persona o personas pueden desempeñar alguna actividad."
"3E","Libra por libra de producto",""
"3G","Libra por pieza de producto",""
"3H","Kilogramo por kilogramo de producto",""
"3I","Kilogramo por pedazo de producto",""
"40","Mililitro por segundo",""
"41","Mililitro por minuto",""
"4B","Gorra",""
"4C","Centistokes",""
"4E","Veinte pack",""
"4G","Microlitro",""
"4H","Micra","El micrómetro, micrón o micra es una unidad de longitud equivalente a una milésima parte de un milímetro."
"4K","Miliamperio",""
"4L","Megabyte","Unidad que se usa para cuantificar un caudal de datos equivalente a 1000 kb/s."
"4M","Miligramo por hora",""
"4N","Megabequerel",""
"4O","Microfaradio",""
"4P","Newton por metro",""
"4Q","Onza pulgada",""
"4R","Onza pie",""
"4T","Picofaradio",""
"4U","Libra por hora",""
"4W","Tonelada (EUA) por hora",""
"4X","Kilolitro por hora",""
"56","Sitas","Unidad de área de placa de estaño igual a un área de superficie de 100 metros cuadrados."
"57","Malla","Una unidad de recuento de definir el número de hebras por pulgada como una medida de la finura de un producto tejido."
"58","kilogramo neto","Unidad de masa que define el número total de kilogramos después de las deducciones."
"59","Parte por millón","Una unidad de proporción igual a 10⁻⁶."
"5A","Barril por minuto",""
"5B","Batch","Unidad de conteo que define el número de lotes (lote: cantidad de material producido en una operación o número de animales o personas que vienen a la vez)."
"5C","Galón (US) por mil",""
"5E","Mmscf/day","Unidad de volumen equivalente a un millón (1,000,000) pies cúbicos de gas por día."
"5F","Libra por mil",""
"5G","bomba",""
"5H","Escenario",""
"5I","Pies cúbicos estándar","Utilice estándar (código común WSD)"
"5J","Caballos de potencia hidráulica","Unidad de potencia de la definición de los caballos de potencia hidráulica suministrada por una bomba de fluido dependiendo de la viscosidad del fluido."
"5K","Contar por minuto",""
"5P","Nivel sísmico",""
"5Q","Línea sísmica",""
"60","Tanto por ciento en peso","Una unidad de proporción igual a 10⁻²."
"61","Parte por mil millones (EUA)","Una unidad de proporción igual a 10⁻⁹."
"74","Milipascal",""
"77","Mili-pulgada",""
"80","Libra por pulgada cuadrado absoluta",""
"81","Henry","Un henry es la unidad para la inductancia eléctrica en el Sistema Internacional de Unidades. Es la inductancia eléctrica de un circuito cerrado en el que se produce una fuerza electromotriz de 1 voltio, cuando la corriente eléctrica que recorre el circuito varía uniformemente a razón de un amperio por segundo."
"85","Pie libra-fuerza",""
"87","Libra por pie cúbico",""
"89","Poise","El poise (símbolo: P) es la unidad de viscosidad dinámica del sistema cegesimal de unidades."
"91","Stokes","El Stokes es la unidad de viscosidad cinemática en el Sistema Cegesimal de Unidades"
"A1","15 ° C calorías",""
"A10","Amperio por metro cuadrado por joule segundo",""
"A11","Ángstrom","El ángstrom es una unidad de longitud empleada principalmente para expresar longitudes de onda, distancias moleculares y atómicas, etc."
"A12","Unidad astronómica","Es una unidad de longitud igual por definición a 149 597 870 700 metros, y que equivale aproximadamente a la distancia media entre el planeta Tierra y el Sol."
"A13","Attojoule","Una unidad SI de la energía, el trabajo, y el calor igual a 10 -18 joules"
"A14","Barn","Es una unidad de superficie, equivalente a 10-28 m² (100 femtómetros cuadrados). Sus múltiplos son muy utilizados en física de partículas para medir las secciones eficaces en reacciones nucleares, y sus inversos para medir luminosidades."
"A15","Barn por electrovoltio",""
"A16","Barn por electrovoltio",""
"A17","Barn por esteroradian",""
"A18","Becquerel por kilogramo",""
"A19","Becquerel por metro cúbico",""
"A2","Amperio por centímetro",""
"A20","Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.",""
"A21","Unidad térmica británica (tabla internacional) por libra grado rankine",""
"A22","Unidad térmica británica (tabla internacional) por segundo pie grado rankine",""
"A23","Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.",""
"A24","Candela por metro cuadrado",""
"A25","Caballo de vapor","Sinónimo: Caballo de fuerza métrico"
"A26","Culombio metro",""
"A27","Culombio metro cuadrado por voltio",""
"A28","Culombio por centímetro cúbico",""
"A29","Culombio por metro cúbico",""
"A3","Amperio por milímetro",""
"A30","Culombio por milímetro cúbico",""
"A31","Culombio por kilogramo-segundo",""
"A32","Culombio por Mol",""
"A33","Culombio por centímetro cuadrado",""
"A34","Culombio por metro cuadrado",""
"A35","Culombio por milímetro cuadrado",""
"A36","Centímetro cúbico por Mol",""
"A37","Decímetro cuadrado por Mol",""
"A38","Cubic pooulo p",""
"A39","Metro cúbico por kilogramo",""
"A4","Amperio por centímetro cuadrado",""
"A40","Metro cúbico por Mol",""
"A41","Amperio por metro cuadrado",""
"A42","Curie por kilogramo",""
"A43","Tonelaje de peso muerto","Unidad de masa que define la diferencia entre el peso de un barco cuando está completamente vacío y su peso cuando está completamente cargado, expresado como el número de toneladas."
"A44","Decalitro",""
"A45","Decámetro","Medida de longitud, de símbolo dam o Dm, que es igual a 10 metros."
"A47","Decitex","Unidad de densidad de hilo. Un decitex es igual a una masa de 1 gramo por 10 kilómetros de longitud."
"A48","Grado rankine","Consulte ISO 80000-5 (Cantidades y unidades - Parte 5: Termodinámica)"
"A49","Negador","Unidad de densidad de hilo. Una denier es igual a una masa de 1 gramo por 9 kilómetros de longitud."
"A5","Amperio metro cuadrado",""
"A50","Dina segundo por centímetro cúbico",""
"A51","Dina segundo por centímetro",""
"A52","Dina segundo por centímetro a la quinta potencia",""
"A53","Electronvoltio",""
"A54","Electronvoltio por metro",""
"A55","Electronvoltio por metro cuadrado",""
"A56","Electronvoltio metro cuadrado por kilogramo",""
"A57","Ergio",""
"A58","Erg por centímetro",""
"A59","La cobertura de nubes 8-parte","Unidad de recuento para definir el número de octavos de partes como una medida de la cobertura de nubes de la ccúpula celeste. 

'Sinónimo: OKTA, OCTA"
"A6","Amperio por metro cuadrado Kelvin cuadrado",""
"A60","Erg por centímetro cúbico",""
"A61","Erg por gramo",""
"A62","Erg por segundo gramo",""
"A63","Erg por segundo",""
"A64","Erg por segundo centímetro cuadrado",""
"A65","Erg por centímetro cuadrado segundo",""
"A66","Erg centímetro cuadrado",""
"A67","Erg centímetro cuadrado por gramo",""
"A68","Exajoule",""
"A69","Faradio por metro",""
"A7","Amperio por milímetro cuadrado",""
"A70","Femtojoule",""
"A71","Femtómetro","Es la unidad de longitud que equivale a una milbillónesima parte del metro."
"A73","Pie por segundo al cuadrado",""
"A74","Pie libra-fuerza por segundo",""
"A75","Tonelada de carga","Unidad de información que normalmente se utiliza para la facturación, que se define como sea el número de toneladas métricas o el número de metros cúbicos, lo que sea mayor."
"A76","Galón","Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquidos, principalmente la gasolina y su precio. Antiguamente, el volumen de un galón dependía de lo que se midiera, y dónde. Sin embargo, en el siglo XIX existían dos definiciones de uso común: ""galón de vino"" (wine gallon) y ""galón de cerveza británico"" (ale gallon)."
"A77","Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de desplazamiento",""
"A78","Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de corriente eléctrica",""
"A79","Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de carga eléctrica",""
"A8","Amperio segundo",""
"A80","Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de la fuerza del campo eléctrico",""
"A81","Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de polarización eléctrica",""
"A82","Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de potencial eléctrico",""
"A83","Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de magnetización",""
"A84","GigaCulombio por metro cúbico",""
"A85","Gigaelectrónvoltio",""
"A86","Gigahertz","Es un múltiplo de la unidad de medida de frecuencia hercio (Hz) y equivale a 109 (1 000 000 000) Hz. Por lo tanto, tiene un período de oscilación de 1 nanosegundo. Las ondas de radio con frecuencias cercanas al gigahercio se denominan microondas."
"A87","GigaOhm",""
"A88","GigaOhm metro",""
"A89","Gigapascal",""
"A9","Tarifa","Unidad de cantidad expresada como una tasa para el uso de una instalación o servicio."
"A90","Gigawatt",""
"A91","Grado centesimal","Sinónimo: grado
El grado centesimal o gon —también llamado gradián (plural: gradianes) y gonio — es una unidad de medida de ángulos planos, alternativa al grado sexagesimal y al radián."
"A93","Gramo por metro cúbico",""
"A94","Gramo por Mol",""
"A95","Gray","Es una unidad derivada del Sistema Internacional de Unidades que mide la dosis absorbida de radiaciones ionizantes por un determinado material. Un Gray es equivalente a la absorción de un julio de energía ionizante por un kilogramo de material irradiado."
"A96","Gray por segundo",""
"A97","Hectopascal",""
"A98","Henry por metro",""
"A99","Bit","Unidad de información igual a un dígito binario."
"AA","Balón","Unidad de recuento para definir el número de bolas (Balón: objeto formado en la forma de esfera)."
"AB","Paquete a granel","Unidad de recuento para definir el número de artículos por paquete a granel."
"ACR","Acre","Es una medida de superficie, usada en agricultura en varios países."
"ACT","Actividad","Unidad de recuento para definir el número de actividades (actividad: una unidad de trabajo o acción)."
"AD","Byte","Unidad de información igual a 8 bits."
"AE","Amperio por metro","(a veces llamado amperio vuelta por metro) es la unidad SI de la corriente de campo magnético."
"AH","Minuto adicional","Unidad de tiempo que define el número de minutos, además de los minutos referenciados."
"AI","Minuto y medio por llamada","Unidad de recuento para definir el número de minutos para el intervalo medio de una llamada."
"AJ","policía",""
"AK","Braza","Una braza es una unidad de longitud náutica, usada generalmente para medir la profundidad del agua. Se llama braza porque equivale a la longitud de un par de brazos extendidos, aproximadamente dos metros, ó 6 pies en el sistema de medición estadounidense. Actualmente es considerada arcaica e imprecisa."
"AL","Línea de acceso","Unidad de recuento para definir el número de líneas de acceso telefónico."
"AMH","Amperio hora","Unidad de carga electrica definida por la cantidad de carga acumulada por un flujo constante de un amperio por 1 hora."
"AMP","Amperio","Es la intensidad de una corriente constante que manteniéndose en dos conductores paralelos, rectilíneos, de longitud infinita, de sección circular despreciable y situados a una distancia de un metro uno de otro en el vacío, produciría una fuerza igual a 2·10-7 newton por metro de longitud."
"ANN","Año","Unidad de tiempo equivalente a 365.25 días."
"AP","Libra de aluminio solamente",""
"APZ","Onza troy u onza farmacéutica",""
"AQ","Unidad del factor anti-hemofílico.","Unidad de medida para la potencia de la sangre (US)."
"AR","supositorio",""
"ARE","Are","Sinónimo: decametro cuadrado"
"AS","Variedad","Unidad de recuento para definir el número de surtidos (variedad: conjunto de elementos agrupados en una colección mixta)."
"ASM","Grado alcohólico en masa","Unidad de masa que define el grado alcohólico de un líquido."
"ASU","Grado alcohólico volumétrico","Unidad de volumen que define el grado alcohólico de un líquido (por ejemplo, alcohol, vino, cerveza, etc.), a menudo a una temperatura específica."
"ATM","Atmósfera estándar","Es un modelo de la atmósfera terrestre que permite obtener los valores de presión, temperatura, densidad y viscosidad del aire en función de la altitud. Su función es proporcionar un marco de referencia invariante para la navegación aérea y para la realización de cálculos aerodinámicos consistentes."
"ATT","Atmósfera técnica",""
"AW","Relleno de polvo en viales",""
"AWG","Calibre de alambre americano","También conocido como el calibre del cable Brown & Sharpe , es un estandarizado calibre del cable sistema utilizado desde 1857 predominantemente en Norteamérica para los diámetros de vuelta, no ferroso,, sólido eléctricamente conductor de alambre."
"AY","Montaje","Una unidad de recuento de definir el número de conjuntos (montaje: artículos que consisten de partes componentes)."
"AZ","Unidad térmica británica (tabla internacional) por libra",""
"B0","Btu por pie cúbico",""
"B1","Barril (EUA) por día",""
"B10","Bits por segundo","Unidad de información igual a un dígito binario por segundo."
"B11","Joule por kilogramo kelvin","Es la capacidad térmica másica de un cuerpo homogéneo de una masa de 1 kilogramo, en el que el aporte de una cantidad de calor de un joule, produce una elevación de temperatura termodinámica de 1 kelvin."
"B12","Joule por metro",""
"B13","Joule por metro cuadrado","Sinónimo: joule por metro cuadrado"
"B14","Joule por metro a la cuarta potencia",""
"B15","Juole por Mol",""
"B16","Juoule por Mol kelvin",""
"B17","Crédito","Unidad de recuento de definir el número de entradas realizadas en el haber de una cuenta."
"B18","Segundos joule",""
"B19","Dígito","Unidad de información que define la cantidad de números utiliza para formar un número."
"B2","litera",""
"B20","Joule metro cuadrado por kilogramo",""
"B21","Kelvin por watt",""
"B22","Kiloamperio",""
"B23","Kiloamperio por metro cuadrado",""
"B24","Kiloamperio por metro",""
"B25","Kilobecquerel por metro cúbico",""
"B26","KiloCulombio",""
"B27","KiloCulombio por metro cúbico",""
"B28","KiloCulombio por metro cuadrado",""
"B29","Kiloelectrónvoltio",""
"B3","Libra de bateo","Unidad de masa que define el número de libras de fibra acolchada."
"B30","Gibibit","Unidad de información igual a 2³⁰ los bits (dígitos binarios)."
"B31","Kilogramo metro por segundo",""
"B32","Kilogramo metro cuadrado",""
"B33","Kilogramo metro cuadrado por segundo",""
"B34","Kilogramo por decímetro cúbico",""
"B35","Kilogramo por litro",""
"B36","Calorías (termoquímicas) por gramo",""
"B37","Kilogramo de fuerza",""
"B38","Kilogramo-metro de la fuerza",""
"B39","Kilogramo-fuerza del metro por segundo",""
"B4","Barril, unidad imperial","Unidad de volumen utilizado para medir cerveza. Un barril de cerveza es igual a 36 galones imperiales."
"B40","Kilogramo de fuerza por metro cuadrado",""
"B41","Kilojoule por kelvin",""
"B42","Kilojoule por kilogramo",""
"B43","Kilojoule por kilogramo kelvin",""
"B44","Kilojoule por Mol",""
"B45","KiloMol",""
"B46","KiloMol por metro cúbico",""
"B47","Kilonewton",""
"B48","Kilonewton metro",""
"B49","KiloOhm",""
"B5","palanquilla",""
"B50","KiloOhm metro",""
"B51","KiloLibra","Sinónimo: Kilogramo-fuerza"
"B52","Kilosegundo",""
"B53","Kilosiemens",""
"B54","Kilosiemens por metro",""
"B55","Kilovoltio por metro",""
"B56","Kiloweber por metro",""
"B57","Año luz","Unidad de longitud que considera la distancia a la que viaja la luz en el vacío en un año."
"B58","Litro por Mol",""
"B59","Lumen hora",""
"B6","Bollo",""
"B60","Lumen por metro cuadrado",""
"B61","Luminosidad por watt",""
"B62","Lumen segundo",""
"B63","Hora de luz",""
"B64","Segundo de luz",""
"B65","Maxwell",""
"B66","Megaamperio por metro cuadrado",""
"B67","Megabecquerel por kilogramo",""
"B68","Gigabit","Unidad de información igual a 10⁹ los bits (dígitos binarios)."
"B69","MegaCulombio por metro cúbico",""
"B7","Ciclo","Unidad de recuento de definir el número de ciclos (ciclo: un período recurrente de duración definida)."
"B70","MegaCulombio por metro cuadrado",""
"B71","Megaelectrónvoltio",""
"B72","Megagramo por metro cúbico",""
"B73","Meganewton",""
"B74","Meganewton metro",""
"B75","MegaOhm",""
"B76","MegaOhm metro",""
"B77","Megasiemens por metro",""
"B78","Megavoltio",""
"B79","Megavoltio por metro",""
"B8","Joule por metro cúbico",""
"B80","Gigabit por segundo","Unidad de información igual a 10⁹ bits (dígitos binarios) por segundo."
"B81","Reciprocidad del metro cuadrado, reciprocidad del segundo",""
"B82","Pulgadas por pie lineal","Unidad de longitud que define el número de pulgadas por pie lineal."
"B83","Metro a la cuarta potencia",""
"B84","Microamperio",""
"B85","Microbar",""
"B86","MicroCulombio",""
"B87","MicroCulombio por metro cúbico",""
"B88","MicroCulombio por metro cuadrado",""
"B89","Microfaradio por metro",""
"B9","Batt",""
"B90","Microhenry",""
"B91","Microhenry por metro",""
"B92","Micronewton",""
"B93","Micronewton metro",""
"B94","Micro Ohm",""
"B95","MicroOhm metro",""
"B96","Micropascal",""
"B97","Microrradián","Unidad de distancia angular igual a una milésima de milliradian. Unidad angular - una unidad de medida para ángulos."
"B98","Microsegundo",""
"B99","Microsiemens",""
"BAR","Bar [unidad de presión]","Se denomina bar a una unidad de presión equivalente a un millón de barias, aproximadamente igual a una atmósfera (1 atm). Su símbolo es «bar»."
"BB","Caja base","Una unidad de área de 112 hojas de productos de estaño (placa de estaño, acero libre de estaño o placa negra) 14 por 20 pulgadas o 31,360 pulgadas cuadradas."
"BFT","Tablero de pies","Unidad de medida para el volumen de la madera en el Estados Unidos y Canadá . Es el volumen de una longitud de un pie de una placa de un pie de ancho y una pulgada de grosor."
"BH","Cepillo",""
"BHP","Potencia al freno",""
"BIL","Billón","Sinonimo: Trillon en EUA."
"BLD","Barril seco (EUA)",""
"BLL","Barril (EUA)","Un barril estadounidense es igual a:

42 galones estadounidenses
168 cuartos estadounidenses
336 pintas estadounidenses
1344 gills estadounidenses
5376 onzas líquidas estadounidenses
158.987294928 litros"
"BP","Tabledo de cien pies",""
"BPM","Latidos por minuto","El número de latidos por minuto."
"BQL","Becquerel","Es la actividad de una fuente radiactiva en la que se desintegra un núcleo por segundo en un dado instante."
"BTU","Unidad térmica británica (tabla internacional)",""
"BUA","Bushel (EUA)","El bushel es una unidad de medida de capacidad para mercancía sólida en los países anglosajones (países de habla inglesa). Se utiliza en el comercio de granos, harinas y otros productos análogos."
"BUI","Bushel (UK)","Un bushel tiene 4 pecks o 32 quarts, y equivale a 1,03205 del bushel de los Estados Unidos, que a su vez equivale a 0,35238 hectolitros. La palabra bushel está cayendo en desuso rápidamente."
"BW","Peso base",""
"BZ","Millones de BTUs",""
"C0","Llamada","Una unidad de recuento de definir el número de llamadas (call: sesión de comunicación o de visita)."
"C1","Libra de producto compuesto (peso total)",""
"C10","Milifaradio",""
"C11","Miligalón",""
"C12","Miligramo por metro",""
"C13","MilliGray",""
"C14","Milihenry",""
"C15","Milijoule",""
"C16","Milímetro por segundo",""
"C17","Milímetro cuadrado por segundo",""
"C18","MiliMol",""
"C19","Mol por kilogramo",""
"C2","Carset",""
"C20","Milinewton",""
"C21","Kibibit","Unidad de información igual a 2¹⁰ (1024) bits (dígitos binarios)."
"C22","Milinewton por metro",""
"C23","MiliOhm metro",""
"C24","Milipascal segundo",""
"C25","Milirradián","Es una unidad derivada sistema internacional para la medición angular , que se define como una milésima parte de un radián (0,001 radianes)."
"C26","Milisegundo",""
"C27","Milisiemens",""
"C28","MilliSievert",""
"C29","Militesla",""
"C3","Microvoltios por metro",""
"C30","Milivoltio por metro",""
"C31","Miliwatt",""
"C32","Miliwatt por metro cuadrado","Es equivalente a una milésima de vatio."
"C33","Miliweber",""
"C34","Mol","Es la cantidad de sustancia de un sistema que contiene tantas entidades elementales como átomos hay en 0,012 kilogramos de carbono 12."
"C35","Mol por decímetro cúbico",""
"C36","Mol por metro cúbico",""
"C37","Kilobits","Unidad de información igual a 10³(1000) bits (dígitos binarios)."
"C38","Mol por litro",""
"C39","Nanoamperio",""
"C4","partido de carga",""
"C40","NanoCulombio",""
"C41","Nanofaradio",""
"C42","Nanofaradio por metro",""
"C43","Nanohenry",""
"C44","Nanohenry por metro",""
"C45","Nanómetro","Medida de longitud que equivale a la milmillonésima parte del metro."
"C46","NanoOhm metro",""
"C47","Nanosegundo",""
"C48","Nanotesla",""
"C49","Nanowatt",""
"C5","Costo",""
"C50","Neperio","El neper o neperio es una unidad de medida relativa que se utiliza frecuentemente en el campo de la telecomunicación, para expresar relaciones entre voltajes o intensidades."
"C51","Neperio por segundo",""
"C52","Picómetro","Es una unidad de longitud del SI que equivale a una billonésima (0,000 000 000 001 o 1×10-12) parte de un metro."
"C53","Newton metro segundo",""
"C54","Newton metro cuadrado por kilogramo cuadrado",""
"C55","Newton por metro cuadrado",""
"C56","Newton por milímetro cuadrado",""
"C57","Newton segundo",""
"C58","Segundos newton por metro",""
"C59","Octava","Una unidad utilizada en la música para describir la relación de la frecuencia entre las notas."
"C6","celda",""
"C60","Ohm centímetro",""
"C61","Ohm metro",""
"C62","Uno","Sinónimo: unidad"
"C63","Pársec","Es una unidad de medida astronómica bastante utilizada para calcular grandes distancias entre objetos."
"C64","Pascal por kelvin",""
"C65","Pascal segundo","Es la viscosidad dinámica de un fluido homogéneo, en el cual, el movimiento rectilíneo y uniforme de una superficie plana de 1 metro cuadrado, da lugar a una fuerza retardatriz de 1 newton, cuando hay una diferencia de velocidad de 1 metro por segundo entre dos planos paralelos separados por 1 metro de distancia."
"C66","Segundos pascal por metro cúbico",""
"C67","Segundos pascal por metro",""
"C68","Petajoule",""
"C69","Phon","Unidad de volumen del sonido subjetivo. Un sonido tiene p phons de sonoridad si se parece al oyente a ser iguales en intensidad, con el sonido de un tono puro de frecuencia 1 kilohertz y de la fuerza p decibelios."
"C7","Centipoise",""
"C70","Picoamperio",""
"C71","PicoCulombio",""
"C72","Picofaradio por metro",""
"C73","Picohenry",""
"C74","Kilobits por segundo","Unidad de información igual a 10 ³  (1000) bits (dígitos binarios) por segundo."
"C75","Picowatt",""
"C76","Picowatt  por metro cuadrado","Es igual a la trillonésima parte de un vatio (10−12)."
"C77","Calibre de libra",""
"C78","Libra fuerza",""
"C79","Kilovoltios horas amperios","Unidad de energía acumulada de 1000 amperios voltioios durante un período de una hora."
"C8","MilliCulombio por kilogramo",""
"C80","Rad",""
"C81","Radián","Es la unidad de medida de un ángulo con vértice en el centro de un círculo cuyos lados son cortados por el arco de la circunferencia, y que además dicho arco tiene una longitud igual a la del radio."
"C82","Radianmetro cuadrado por Mol",""
"C83","Rradian metro cuadrado por kilogramo",""
"C84","Radían por metro",""
"C85","Reciprocidad Ámstrong",""
"C86","Reciprocidad del metro cúbico",""
"C87","Reciprocidad metro cúbico por segundo","Sinonimo: Reciprocidad del segundo por metro cúbico."
"C88","Recíproco joule por metro cúbico",""
"C89","Henry recíproco",""
"C9","Grupo bobinas","Unidad de conteo que define el número de grupos de bobinas (grupo bobina: grupos de elementos dispuestos por longitudes de los objetos colocados en una secuencia de círculos concéntricos unido)."
"C90","Recíproco Henry",""
"C91","Reciprocidad de kelvin ó kelvin a la potencia menos 1",""
"C92","Reciprocidad Metro",""
"C93","Reciprocidad Metro cuadrado","Sinónimo: Reciprocidad de metro cuadrado"
"C94","Reciprocidad Minuto",""
"C95","Reciprocidad Mol","Es una propiedad física definida como su masa por unidad de cantidad de sustancia."
"C96","Reciprocidad Pascal o pascal a la potencia menos 1",""
"C97","Reciprocidad Segundo",""
"C98","Segundo recíproco por metro cúbico",""
"C99","Reciprocidad Segundo por metro cuadrado",""
"CCT","Capacidad de carga en toneladas métricas","Unidad de masa que define la capacidad de carga, expresada como el número de toneladas métricas."
"CDL","Candela","La candela es una de las unidades básicas del Sistema Internacional, de intensidad luminosa."
"CE","Cada mes",""
"CEL","Grados celsius","Consulte ISO 80000-5 (Cantidades y unidades - Parte 5: Termodinámica)"
"CEN","Centenar","Una unidad de recuento de definir el número de unidades en múltiplos de 100."
"CG","Tarjeta","Unidad de conteo que define el número de unidades de la tarjeta (tarjeta: papel rígido grueso o cartón)."
"CGM","Centigramo",""
"CK","Conector",""
"CKG","Culombio por kilogramo",""
"CLF","Cientos de hojas","Una unidad de recuento de definir el número de hojas, expresado en unidades de cien hojas."
"CLT","Centilitro","Medida de volumen, de símbolo cl, que es igual a la centésima parte de un litro."
"CMK","Centímetro cuadrado","Medida de longitud, de símbolo cm, que es igual a la centésima parte de un metro."
"CMQ","Centímetro cúbico","Medida de longitud, de símbolo cm, que es igual a la centésima parte de un metro."
"CMT","Centímetro","Es una unidad de longitud. Es el segundo submúltiplo del metro y equivale a la centésima parte de él."
"CNP","Cientos de paquetes","Unidad de recuento para definir el número de cientos de paquetes (cien paquete: conjunto de un centenar de artículos empaquetados juntos)."
"CNT","Cental (UK)","Una unidad de masa igual a cien  kilos (EUA)."
"COU","Culombio","Es la cantidad de electricidad transportada en 1 segundo por una corriente de intensidad 1 amperio."
"CTG","Contenido en gramos","Unidad de masa que define el número de gramos de un elemento con nombre en un producto."
